time, Fahrenheit,humidity,moisture,temperature, solenoid_valve
2021-2-4-13:41,80.06,45,34.99511,26.7,ON
2021-2-4-13:42,80.06,45,34.50636,26.7,ON
2021-2-4-13:43,80.06,46,35.38612,26.7,OFF
2021-2-4-13:44,80.06,46,35.19062,26.7,OFF
2021-2-4-13:45,80.06,46,35.28837,26.7,OFF
2021-2-4-13:46,80.06,46,35.38612,26.7,OFF
2021-2-4-13:47,80.06,46,35.28837,26.7,OFF
2021-2-4-13:48,80.06,45,34.99511,26.7,ON
2021-2-4-13:49,80.06,45,34.89736,26.7,ON
2021-2-4-13:4,79.88,48,35.87488,26.6,OFF
2021-2-4-13:50,80.06,45,34.89736,26.7,OFF
2021-2-4-13:51,80.06,44,34.11535,26.7,ON
2021-2-4-13:52,80.06,44,34.2131,26.7,OFF
2021-2-4-13:53,80.24,40,51.4174,26.8,OFF
2021-2-4-13:54,80.06,41,35.67937,26.7,ON
2021-2-4-13:55,80.06,39,30.79179,26.7,ON
2021-2-4-13:56,80.06,39,29.42327,26.7,ON
2021-2-4-13:57,80.06,39,29.42327,26.7,ON
2021-2-4-13:58,79.88,37,30.49853,26.6,ON
2021-2-4-13:59,79.88,37,30.10753,26.6,ON
2021-2-4-13:5,79.88,48,36.16813,26.6,OFF
2021-2-4-13:6,79.88,48,36.07038,26.6,OFF
2021-2-4-13:7,79.88,48,36.26588,26.6,OFF
2021-2-4-13:8,79.88,48,35.67937,26.6,OFF
2021-2-4-13:9,79.88,48,35.38612,26.6,OFF
2021-2-4-14:0,79.7,37,30.49853,26.5,ON
2021-2-4-14:10,79.7,37,31.08504,26.5,ON
2021-2-4-14:11,80.06,38,30.69404,26.7,ON
2021-2-4-14:12,80.06,33,30.69404,26.7,ON
2021-2-4-14:13,80.6,35,30.69404,27,ON
2021-2-4-14:14,80.24,40,29.81427,26.8,ON
2021-2-4-14:15,80.06,40,30.10753,26.7,ON
2021-2-4-14:16,80.24,41,30.10753,26.8,ON
